address,in_btc,out_btc,balance,in_degree,out_degree,unique_in_degree,unique_out_degree,mean_in_btc,mean_out_btc,first_active,last_active,max_in_btc,min_in_btc,max_out_btc,min_out_btc,in_standard_deviation,out_standard_deviation,in_transaction_frequency,out_transaction_frequency,in_amount_frequency,out_amount_frequency
111K8kZAEnJg245r2cM6y9zgJGHZtJPy6,1.0005,1.0005,0.0,1,1,1,1,1.0005,1.0005,2017-01-11T12:43:06Z,2017-01-11T12:49:44Z,1.0005,1.0005,1.00020879,0.00029121,0.0,0.49995879,1.0,1.0,1.0005,1.0005
1123pJv8jzeFQaCV4w644pzQJzVWay2zcA,1.0,1.0,0.0,1,1,1,2,1.0,1.0,2016-05-11T10:49:30Z,2016-05-18T11:41:26Z,1.0,1.0,0.999765085197931,3.185951397000247e-05,0.0,0.471238416124284,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428
112536im7hy6wtKbpH1qYDWtTyMRAcA2p7,2.0,2.0,0.0,1,1,12,1,2.0,2.0,2016-09-02T07:54:20Z,2016-09-02T08:51:48Z,0.1742190512919398,0.0870613189355958,1.99971217,0.00028783,0.0240022088248328,0.99971217,1.0,1.0,2.0,2.0
1126eDRw2wqSkWosjTCre8cjjQW8sSeWH7,0.712,0.712,0.0,1,1,1,1,0.712,0.712,2016-11-17T16:44:25Z,2016-11-17T17:36:02Z,0.712,0.712,0.71170577,0.00029423,0.0,0.35570577,1.0,1.0,0.712,0.712
1129TSjKtx65E35GiUo4AYVeyo48twbrGX,2.0,2.0,0.0,1,1,1,2,2.0,2.0,2016-08-25T08:47:53Z,2016-08-26T09:20:46Z,2.0,2.0,1.999772592859944,5.5267429467071285e-05,0.0,0.9426482416587534,1.0,1.0,2.0,2.0
112AmFATxzhuSpvtz1hfpa3Zrw3BG276pc,0.5,0.5,0.0,1,1,1,2,0.5,0.5,2016-04-05T17:35:11Z,2016-04-07T11:18:20Z,0.5,0.5,0.4999570569885213,9.51948233929564e-06,0.0,0.2356718953029423,1.0,1.0,0.5,0.5
112E91jxS2qrQY1z78LPWUWrLVFGqbYPQ1,1.0,1.0,0.0,1,1,1,1,1.0,1.0,2016-08-12T14:21:34Z,2016-08-12T14:38:08Z,1.0,1.0,0.99972107,0.00027893,0.0,0.49972107,1.0,1.0,1.0,1.0
112eFykaD53KEkKeYW9KW8eWebZYSbt2f5,1.0099,1.0099,0.0,1,1,1,1,1.0099,1.0099,2016-11-19T19:55:33Z,2016-11-19T20:05:12Z,1.0099,1.0099,1.0096633,0.0002367,0.0,0.5047132999999999,1.0,1.0,1.0099,1.0099
112FTiRdJjMrNgEtd4fvdoq3TC33Ah5Dep,0.8,0.8,0.0,1,1,1,1,0.8,0.8,2016-10-24T12:17:33Z,2016-10-24T12:29:29Z,0.8,0.8,0.79976691,0.00023309,0.0,0.39976691,1.0,1.0,0.8,0.8
112GocBgFSnaote6krx828qaockFraD8mp,0.5,0.5,0.0,1,1,1,2,0.5,0.5,2016-03-02T16:10:04Z,2016-03-03T11:31:52Z,0.5,0.5,0.4998819782648372,1.7925267858598798e-05,0.0,0.2356188088143304,1.0,1.0,0.5,0.5
