address,in_btc,out_btc,balance,in_degree,out_degree,unique_in_degree,unique_out_degree,mean_in_btc,mean_out_btc,first_active,last_active,max_in_btc,min_in_btc,max_out_btc,min_out_btc,in_standard_deviation,out_standard_deviation,in_transaction_frequency,out_transaction_frequency,in_amount_frequency,out_amount_frequency
1PC96z15GU7psZ8FCe9qDGmio3rUEmWEdm,1.22,1.22,0.0,1,1,1,2,1.22,1.22,2011-03-03T03:23:34Z,2011-03-03T03:59:12Z,1.22,1.22,1.21,0.01,0.0,0.6,1.0,1.0,1.22,1.22
1MbJpchmGcFz2adtY7SUMYq53L8X6C3rHu,42.21,42.21,0.0,1,1,1,2,42.21,42.21,2011-03-03T16:04:03Z,2011-03-03T17:21:45Z,42.21,42.21,37.19,5.02,0.0,16.085,1.0,1.0,42.21,42.21
1B4VZhAnepfy484NhUbHWy5b9fPj4Y9rwj,1.03,1.03,0.0,1,1,1,2,1.03,1.03,2011-03-03T06:58:51Z,2011-03-03T06:59:05Z,1.03,1.03,1.02,0.01,0.0,0.505,1.0,1.0,1.03,1.03
1B5UY61wosDc46mTMHzLkQaPLJ3xqmmvSJ,2.06,2.06,0.0,5,3,5,3,0.41200000000000003,0.6866666666666666,2011-02-27T05:07:53Z,2011-06-09T00:02:16Z,1.07,0.01,1.9012345679012346,6.159457967698843e-06,0.47499052622131316,0.6974512188280125,0.04950495049504951,0.0297029702970297,0.020396039603960397,0.020396039603960397
1AruJjsqzkyat75ud5r8A6r3vqMkTgZdgt,393.12164214,393.12164214,0.0,79,33,65,64,4.976223318227849,11.912777034545455,2011-02-21T18:12:15Z,2016-01-15T21:44:42Z,18.72159725843701,0.0001,50.0,1.5700763466675173e-09,3.6253094237130976,12.18612948288908,0.044158747903856904,0.0184460592509782,0.21974379102291783,0.21974379102291783
15RLMEdCy16MfbfahK6t5zAo3n1zD5pN1t,0.91,0.91,0.0,1,1,1,2,0.91,0.91,2011-03-03T01:04:36Z,2011-03-03T01:04:36Z,0.91,0.91,0.9,0.01,0.0,0.445,1.0,1.0,0.91,0.91
1MN63edAEniMMcyukXyAtThG2E9FFNCCP2,105.17338365,105.17338365,0.0,11,10,20,16,9.561216695454545,10.517338365,2011-01-29T04:38:15Z,2017-07-29T16:21:23Z,40.0,0.0001,39.952556339347026,2.249247574786341e-08,9.7396573935604,7.788519735402202,0.004635482511588706,0.004214075010535188,0.044320852781289506,0.044320852781289506
1MoNwwppY8FQAwZfe4eKLuomhUqLpZp2Fi,0.3,0.3,0.0,1,1,1,2,0.3,0.3,2011-03-03T04:49:23Z,2011-03-03T05:28:17Z,0.3,0.3,0.29,0.01,0.0,0.13999999999999999,1.0,1.0,0.3,0.3
1EHPgfCmVSq6QKdP3x1pnYDXtL1oAmzzBz,20.69,20.69,0.0,1,1,1,2,20.69,20.69,2011-03-03T08:49:05Z,2011-03-03T08:49:05Z,20.69,20.69,20.59,0.10000000000000002,0.0,10.245,1.0,1.0,20.69,20.69
1LyFXFsfQuLbiYvG2x5WPGbjZu4HJMAff4,24.99,24.99,0.0,1,1,1,2,24.99,24.99,2011-03-03T03:55:41Z,2011-03-03T03:59:12Z,24.99,24.99,24.89,0.1,0.0,12.395000000000001,1.0,1.0,24.99,24.99
18j75Td93MLz6KE4GskMvz2ex1o1cRiM5r,0.3,0.3,0.0,1,1,1,2,0.3,0.3,2011-03-03T09:43:57Z,2011-03-03T10:14:30Z,0.3,0.3,0.29,0.01,0.0,0.13999999999999999,1.0,1.0,0.3,0.3
1D1qRS2SwAmjM8QceQhFMSxTmeceiXr4eD,26.94,26.94,0.0,1,1,1,2,26.94,26.94,2011-03-03T14:59:56Z,2011-03-03T15:22:14Z,26.94,26.94,23.69,3.25,0.0,10.22,1.0,1.0,26.94,26.94
1HV3gRWWzDvn5rtensjPMUKkDWF7sfnthP,28.9102,28.9102,0.0,1,1,1,2,28.9102,28.9102,2011-03-03T02:31:14Z,2011-03-03T02:35:47Z,28.9102,28.9102,27.7702,1.14,0.0,13.3151,1.0,1.0,28.9102,28.9102
16Gg3W5qCWXUTxpUURLFFb3QFyvnxBC4FF,141.63103517,141.63103517,0.0,77,27,75,50,1.839364093116883,5.245593895185185,2011-02-26T11:07:19Z,2013-04-06T21:29:56Z,5.3,0.00011175681716584712,24.969999999999995,0.0001,1.553514453804975,5.2917578000055565,0.1,0.03506493506493506,0.1839364093116883,0.1839364093116883
1snWrt86D8Axr2RFF6A7rrrVvys8NZyRi,19.51,19.51,0.0,1,1,1,2,19.51,19.51,2011-03-03T10:08:54Z,2011-03-03T10:11:41Z,19.51,19.51,18.4,1.11,0.0,8.645,1.0,1.0,19.51,19.51
1GtWZCr1tUb2KeuessL9scfVoB6s7m55m5,0.87,0.87,0.0,1,1,1,2,0.87,0.87,2011-03-03T10:34:25Z,2011-03-03T10:47:54Z,0.87,0.87,0.86,0.01,0.0,0.425,1.0,1.0,0.87,0.87
1FKso4McsFzVrakBUihRpobdYA6At9b1X5,0.75,0.75,0.0,1,1,2,2,0.75,0.75,2011-03-03T06:07:15Z,2011-03-23T23:19:50Z,0.375,0.375,0.375,0.375,0.0,0.0,0.05,0.05,0.0375,0.0375
