address,score
bc1qwukmzzjqn5hwsp4uaswc4c53gc0xz5asrv0prx,100
bc1qhwkw99j55gmpdftn8knvyzdvq7624vrswhvenv,50.0
bc1q2f0tczgrukdxjrhhadpft2fehzpcrwrz549u90,50.0
bc1q9stcvz5ehzklg02fh78tf7xjqamz35huwqvr7t,25.0
bc1q08w30tf3wr3jt4aux8g5pp85htg4hhwxt4mgp5,25.0
bc1qd0q8dj8vylc0sr5ujnsuha7xsg8vgvqcsd9d4g,25.0
bc1q05xx5s2fmw5amje5humu923uxlgs5y3ptrs8wd,25.0
bc1q4zf5rlayfhey2j3dsa2dv3lpryj3fvw7pzt8sl,25.0
bc1ql0ffu699zx40vs73rdnmq8ma5ff449e9k0f9jq,25.0
bc1q0sf6hzu33sva5xgnfywt8e8e8lgcdpjw5j9ulc,25.0
bc1qz5mznyttn2mgxvuahaquuv5vta0mw2qs76jlzq,25.0
bc1q4htc5hwq9nqr8ekphfz9zs2g6y3v2ter5w5drc,25.0
bc1qy82cnff4fzzz6k07q960sz2thzz367mhtgk0xg,25.0
bc1qt90ffd6rk0u90sqjrz3ep9l0clfyh7wh79pxfn,25.0
bc1q5q9mmsd8jp7sy293z2ur02dfqwveftmumwfnyd,25.0
bc1qst5njez0vghkwlevzg2nzmnvfjntdeurpkhzna,25.0
bc1qfc66y7weee88njdzs3jgw4vgg3qwzc4wqfeefn,25.0
bc1qtx77gaes6n40354ergdf90xzs69tudpj5drvgr,25.0
bc1q79m3kqhucm2g5mfclf5up7fkucat200zr72z2n,25.0
bc1qckse9sz6nq5dfq64m7xylpsxe8yev7e9suhx85,25.0
bc1q7zdp069jgh8zd7d3jau0yc9xhkqxpurcrpxulp,25.0
bc1qjmjcgq3gjczzgrqakeskfszvwas4auwm3mhsly,25.0
bc1qlvhnjvy4scqv0g0tpzrqt8vtl6wze3k8298y3n,25.0
bc1qngmjylj624qh4zgukfdz9dsey0favyfylajrnf,25.0
bc1qwhpw7mh6f59y4z2yasn596g3c8snuwezhj6lan,25.0
bc1q0yv6x8lm5ewt4rgnlpyc6dkcax3t5x58qr79eq,25.0
bc1qke80zruyrxp4fa9p8z7t22x9hrvp2ljln0ap0y,25.0
bc1qhgwjhprvrxr9vtnkzczzm3m4v28lhl0kg2zjrk,25.0
bc1qkugks734zpwtxsksjlllqh97plmj0kr8d6fpkx,25.0
bc1qv48aqatsumghawu6fdwxsm95w3f0hqtlfm58xa,25.0
bc1qgkv0re7awnq70rd62jqrs5ugp9gkvhjlalf2pc,25.0
bc1qpyvyyq629l88nt39kc97jdgmgmhnle07alu8tw,25.0
bc1qxfpn64j3as9cn9lry4f3lg8fpnkmuhczvsx2ug,25.0
bc1qg0q93wka07wf4c3kdyf3epm4x607cuky54csjs,25.0
bc1qddvqxjad36f4hg4j5sw7xmnqp93gg6n9grv2lc,25.0
bc1q2kf2vtw98p703zry0jmrkrz59vgw7y2nn6cdsc,25.0
bc1qwta9q34zs5mttd89rkwyzake9rnskdvj65503j,25.0
bc1qk8ry2lx2jr5jakm7cm6x9cu82vc740yuasaufm,25.0
bc1qjm2kwjay6fjpuf7nn5kktafgvqfevwm8px8saz,25.0
bc1qr782mlcnz9vsfku2dwtu2utkf4f9qsv9cvz5mg,25.0
bc1qsz2735f74rv0mq44vtvsfadgufcqsymcrngqjv,25.0
bc1qfp9yg7pk73v6xuskkamkg5h306yj4u28z5fz2m,25.0
bc1qf7yachwajhcqemyyayyqrkyskagj685288r5ma,25.0
bc1q7yuv43sdrypfzex9jlx34uzh3q74nvsgdrmyq2,25.0
bc1qs5vyq2n4jc2kstvghr9a345cdq2uy66v5gq46q,25.0
bc1qtxmn9y9qeu3lypa3wrllgqglmv5ytjt04dg5ep,25.0
bc1qkggsxs46le8s8fhu8vdhav65aq92qm69ahlfy6,25.0
bc1q5fxxll60c2ely2zkstantyzh55xg3kmfevmrrx,25.0
bc1qw6qefffjq6m7xp36u3fsrteu3dacp7ap7espu7,25.0
bc1qgwkmycmlh0cmpwcqwmrqu4nnvfk6xpj3ra7m4n,25.0
